day,start_time,duration_sec,is_member,start_weather_type,start_humidity,start_wind_speed,start_temperature,end_station_code
Wednesday,17,286,TRUE,scattered clouds,46,6,-1.32,
Thursday,17,458,TRUE,broken clouds,33,5,5.75,
Friday,21,685,TRUE,overcast clouds,29,2,10.07,
Saturday,15,1771,TRUE,broken clouds,48,5,7.61,
Saturday,18,1376,FALSE,few clouds,36,5,9.31,
Sunday,17,466,TRUE,broken clouds,25,2,11.01,
Monday,2,2836,TRUE,overcast clouds,27,2,9.34,
Monday,13,262,TRUE,overcast clouds,,2,8.6,
Tuesday,8,1061,TRUE,moderate rain,93,3,9.11,
Wednesday,13,323,TRUE,broken clouds,75,5,6.67,
Friday,10,431,FALSE,scattered clouds,47,3,2.39,
Friday,18,221,TRUE,broken clouds,27,3,10.53,
Monday,11,125,TRUE,few clouds,65,5,4.21,
Monday,15,591,TRUE,broken clouds,,4,10.57,
Tuesday,2,340,TRUE,overcast clouds,70,7,7.07,
Tuesday,8,1536,TRUE,broken clouds,75,7,5.77,
Tuesday,17,1393,TRUE,scattered clouds,62,7,11.7735,
Tuesday,17,470,TRUE,scattered clouds,62,7,11.7735,
Tuesday,20,594,TRUE,broken clouds,56,7,12.291,
Wednesday,12,573,TRUE,light rain,85,5,6.42,
